County,Year,Cases
Adams,2014,0
Adams,2015,0
Adams,2016,0
Adams,2017,0
Adams,2018,0
Adams,2019,0
Adams,2020,0
Adams,2021,0
Adams,2022,1
Adams,2023,0
Columbia,2014,0
Columbia,2015,1
Columbia,2016,0
Columbia,2017,0
Columbia,2018,0
Columbia,2019,0
Columbia,2020,0
Columbia,2021,0
Columbia,2022,0
Columbia,2023,0
Crawford,2014,0
Crawford,2015,0
Crawford,2016,0
Crawford,2017,0
Crawford,2018,0
Crawford,2019,0
Crawford,2020,0
Crawford,2021,0
Crawford,2022,0
Crawford,2023,0
Dane,2014,7
Dane,2015,7
Dane,2016,8
Dane,2017,8
Dane,2018,7
Dane,2019,7
Dane,2020,5
Dane,2021,6
Dane,2022,8
Dane,2023,11
Dodge,2014,0
Dodge,2015,0
Dodge,2016,0
Dodge,2017,0
Dodge,2018,0
Dodge,2019,0
Dodge,2020,1
Dodge,2021,0
Dodge,2022,1
Dodge,2023,0
Grant,2014,0
Grant,2015,0
Grant,2016,0
Grant,2017,0
Grant,2018,0
Grant,2019,0
Grant,2020,0
Grant,2021,0
Grant,2022,0
Grant,2023,0
Green,2014,2
Green,2015,0
Green,2016,0
Green,2017,0
Green,2018,0
Green,2019,0
Green,2020,0
Green,2021,0
Green,2022,0
Green,2023,0
Iowa,2014,0
Iowa,2015,0
Iowa,2016,0
Iowa,2017,0
Iowa,2018,0
Iowa,2019,0
Iowa,2020,0
Iowa,2021,0
Iowa,2022,0
Iowa,2023,0
Jefferson,2014,1
Jefferson,2015,0
Jefferson,2016,0
Jefferson,2017,1
Jefferson,2018,0
Jefferson,2019,0
Jefferson,2020,0
Jefferson,2021,0
Jefferson,2022,1
Jefferson,2023,0
Juneau,2014,0
Juneau,2015,0
Juneau,2016,1
Juneau,2017,0
Juneau,2018,0
Juneau,2019,0
Juneau,2020,0
Juneau,2021,0
Juneau,2022,0
Juneau,2023,0
Lafayette,2014,0
Lafayette,2015,0
Lafayette,2016,0
Lafayette,2017,0
Lafayette,2018,0
Lafayette,2019,0
Lafayette,2020,0
Lafayette,2021,0
Lafayette,2022,0
Lafayette,2023,2
Richland,2014,1
Richland,2015,0
Richland,2016,0
Richland,2017,0
Richland,2018,0
Richland,2019,0
Richland,2020,0
Richland,2021,0
Richland,2022,0
Richland,2023,0
Rock,2014,0
Rock,2015,1
Rock,2016,0
Rock,2017,0
Rock,2018,0
Rock,2019,1
Rock,2020,0
Rock,2021,1
Rock,2022,0
Rock,2023,1
Sauk,2014,0
Sauk,2015,0
Sauk,2016,3
Sauk,2017,0
Sauk,2018,0
Sauk,2019,0
Sauk,2020,1
Sauk,2021,0
Sauk,2022,0
Sauk,2023,1
Vernon,2014,0
Vernon,2015,0
Vernon,2016,0
Vernon,2017,0
Vernon,2018,0
Vernon,2019,0
Vernon,2020,0
Vernon,2021,0
Vernon,2022,0
Vernon,2023,0
